중복주소그룹,address,name
34,제주특별자치도 서귀포시 안덕면 사계리 nan,사계해안
35,제주특별자치도 서귀포시 안덕면 상창리 271,카멜리아힐
35,제주특별자치도 서귀포시 안덕면 상창리 271,카멜리아힐매표소
36,제주특별자치도 서귀포시 안덕면 서광리 산24,제주신화월드
36,제주특별자치도 서귀포시 안덕면 서광리 산24,푸드에비뉴
36,제주특별자치도 서귀포시 안덕면 서광리 산24,제주신화월드신화쇼핑스트리트
37,제주특별자치도 서귀포시 안덕면 서광리 산35-16,제주신화월드신화테마파크
37,제주특별자치도 서귀포시 안덕면 서광리 산35-16,YG리퍼블릭
38,제주특별자치도 서귀포시 안덕면 화순리 823,제주올레
38,제주특별자치도 서귀포시 안덕면 화순리 823,마린파크
39,제주특별자치도 서귀포시 중문동 nan 2700,버블체험장
39,제주특별자치도 서귀포시 중문동 nan 2700,제주식품대전
39,제주특별자치도 서귀포시 중문동 nan 2700,국제전기자동차엑스포
39,제주특별자치도 서귀포시 중문동 nan 2700,로하스박람회제주
39,제주특별자치도 서귀포시 중문동 nan 2700,제주카페스타
40,제주특별자치도 서귀포시 표선면 가시리 3149-33,가시리농어촌체험휴양마을협의회
40,제주특별자치도 서귀포시 표선면 가시리 3149-33,제주유채꽃축제
40,제주특별자치도 서귀포시 표선면 가시리 3149-33,조랑말체험공원조랑말박물관
41,제주특별자치도 서귀포시 표선면 가시리 산158,붉은오름자연휴양림
41,제주특별자치도 서귀포시 표선면 가시리 산158,샤려니숲길사려니숲길
41,제주특별자치도 서귀포시 표선면 가시리 산158,한라산둘레길숲길센터
41,제주특별자치도 서귀포시 표선면 가시리 산158,붉은오름숲속야영장
42,제주특별자치도 서귀포시 표선면 성읍리 485500,보롬왓메밀축제
42,제주특별자치도 서귀포시 표선면 성읍리 485500,제주보롬왓
43,제주특별자치도 서귀포시 표선면 성읍리 820-1,성읍민속마을
43,제주특별자치도 서귀포시 표선면 성읍리 820-1,성읍민속마을정의향교
44,제주특별자치도 서귀포시 표선면 표선리 nan,표선해수욕장
44,제주특별자치도 서귀포시 표선면 표선리 nan,표선해비치해변하얀모래축제
45,제주특별자치도 서귀포시 하원동 nan 산1-1,서귀포자연휴양림편백숲야영장
45,제주특별자치도 서귀포시 하원동 nan 산1-1,한라산탐방로
45,제주특별자치도 서귀포시 하원동 nan 산1-1,한라산국립공원영실매표소
45,제주특별자치도 서귀포시 하원동 nan 산1-1,서귀포자연휴양림
46,제주특별자치도 서귀포시 호근동 nan 569-8,팜스테이
