KCLANPO23N000000621,장소,관광지,7218754,소인국테마파크,,,60514,유명관광지,5.01303E+18,제주특별자치도,서귀포시,안덕면,서광리,725,5013031027,5013031000,5.01303E+11,중산간서로,1878,126.3225065,33.29010357,나나903782,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000622,장소,관광지,7218755,제주미니랜드,,,60513,일반관광지,5.01103E+18,제주특별자치도,제주시,조천읍,교래리,산56-4,5011025929,5011025900,5.01103E+11,비자림로,606,126.6739975,33.43316296,다나232937,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000623,장소,관광지,7218756,퍼시픽리솜,,,60514,유명관광지,5.01301E+18,제주특별자치도,서귀포시,색달동,,2950-17,5013011900,5013062000,5.01303E+11,중문관광로,154-17,126.4156193,33.24387572,나나989730,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000624,장소,관광지,7218762,도깨비공원,,,60514,유명관광지,5.01103E+18,제주특별자치도,제주시,조천읍,선흘리,799519,5011025930,5011025900,5.01103E+11,번영로,1488,126.692139,33.46336387,다나249971,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000654,장소,관광지,7218863,제주공룡랜드,,,60507,테마공원/대형놀이공원,5.01103E+18,제주특별자치도,제주시,애월읍,광령리,2698,5011025321,5011025300,5.01105E+11,광령평화2길,1,126.4331857,33.44174897,다나008949,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000678,장소,관광지,7231150,중문색달해수욕장,,,60501,해수욕장,5.01301E+18,제주특별자치도,서귀포시,색달동,,,5013011900,5013062000,,,,126.4101166,33.24523383,나나984731,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000679,장소,관광지,7231151,협재해수욕장,,,60501,해수욕장,5.01103E+18,제주특별자치도,제주시,한림읍,협재리,,5011025031,5011025000,,,,126.2391127,33.39399103,나나827898,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000691,장소,관광지,7231163,김녕해수욕장,,,60501,해수욕장,5.01103E+18,제주특별자치도,제주시,구좌읍,김녕리,,5011025634,5011025600,,,,126.759417,33.55837636,다다312076,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000710,장소,관광지,7231183,삼양해수욕장,,,60501,해수욕장,5.01101E+18,제주특별자치도,제주시,삼양이동,,22037,5011011400,5011061000,,,,126.5857531,33.52561191,다다151041,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
KCLANPO23N000000724,장소,관광지,7231197,표선해수욕장,,,60501,해수욕장,5.01303E+18,제주특별자치도,서귀포시,표선면,표선리,,5013032021,5013032000,,,,126.8378419,33.32738446,다나383819,20240108,KT,KC_495_LLR_ATRCTN_2023,20231220
